thread_id,full_conversation,total_turns,customer_turns,company_turns,length_bucket,dm_signal,escalation_signal,intent,interaction_type,resolution_status,evaluation_quality
GWR_000011,"Customer: @GWRHelp why can't this train leave Didcot Parkway until 19.38? To Swindon.
GWRHelp: @363958 Hi Bryan. Are you sat on the 1938 now? Phil.
Customer: @GWRHelp Yep
GWRHelp: @363958 It will need to wait for all other passengers to board/arrive from connections before it can depart. Phil.
Customer: @GWRHelp I could've told you that! Put more bloody trains on muppets. These idiots in vests at stations are clueless too GWR=Ryanair on Rail!",5,3,2,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,complaint,unresolved,good_candidate
GWR_000012,"Customer: Full and standing to the point of being unsafe, unable to get on, and staff with no clue as to the concept of customer service. @GWRHelp https://t.co/ce1QUJtSrG
GWRHelp: @338976 Hi Chris. Safety is paramount and if full we will always prevent further boarding. The next service to Plymouth is at 1428. Lewis
Customer: @GWRHelp Are you going to answer the question as to why it was decided to put on just one carriage for such a long route, on a busy Saturday?
Customer: @GWRHelp And forgive me for finding utterly arbitrary the method of deciding whether the train was full. Is there a prescribed method for this?
GWRHelp: @338976 There isn't a set number of passengers allowed on a service but our staff are safety trained and will use this when making a determination.
GWRHelp: @338976 We run with as many carriages as possible but a lot of maintenance has to take place at weekends. Sorry for the problems this has caused.
Customer: @GWRHelp No, to repeat for a third time, I'd like to know the reason this specific service was run with one carriage. Thank you.
Customer: @GWRHelp And while we're at it, do you have figures available as to the cost of your rebrand to GWR that you insisted wasn't 'just a rebrand'?
GWRHelp: @338976 I explained, we always run with as many as possible but due to maintenance requirements we don't have as many available. Lewis
Customer: @GWRHelp And do you have any expectation that one carriage will fit all pax on that route, or are you selling a service you can't possibly provide?
GWRHelp: @338976 Most tickets sold are flexible so we can't always determine how many people will want to travel on a specific service. 1/2
GWRHelp: @338976 2/2 We do monitor and where possible will try to match resources to predicted numbers. Lewis
Customer: @GWRHelp In no-one's mind is a one-carriage train going to be sufficient all the way from Penzance to Plymouth. Wouldn't you agree?
Customer: @GWRHelp And you seem to be failing miserably at matching resources to predicted numbers. Just arrived in Plymouth 40mins late by taxi - thanks.
GWRHelp: @338976 We can only run with the carriages we have available. Apologies again for the problems today. Lewis
Customer: @GWRHelp I'll take that as agreement with my point. My complaint will be in the post. Lost count of how many I've made, yet service never improves.",16,9,7,,FALSE,FALSE,STAFF / SERVICE COMPLAINT,complaint,unresolved,good_candidate
GWR_000013,"Customer: Half an hour late getting to Taunton. Good job @GWRHelp
GWRHelp: @14753 Hi Dave. What service are you referring to please? Rach
Customer: @GWRHelp The 1157 Paddington to Penzance. It's criminally overcrowded and now half an hour late.
GWRHelp: @14753 Many apologies for the delay to your journey Dave. Rach
Customer: @GWRHelp Apologies don't really help, to be honest. How late does it need to be for me to claim compensation?
Customer: @GWRHelp I note you apologise for the delay (which might not be in your control) but not the overcrowding (which definitely is in your control).
GWRHelp: @14753 Apologies Dave. If delayed by an hour you can claim compensation here: https://t.co/MEgzCgvyTa
Customer: @GWRHelp Your link is a 404. But this page says I can claim after 30 minutes https://t.co/2HaqG4zKY0
GWRHelp: @14753 Hi Dave. Not sure why that is. Can you try this link please: https://t.co/kZncdam7bx. Lewis
Customer: @GWRHelp Yeah. That's the page I found. It says I can claim for delays of 30 mins. Not sure why you said an hour.
GWRHelp: @14753 It would be an hour for that journey. If you click on how it works, a break down of the different arrangements is provided. Lewis
Customer: @GWRHelp So I see. That's ridiculous. If I can't claim for this appalling service I'm going to be furious.
GWRHelp: @14753 I'm afraid unless delayed by an hour or you booked a seat but had to stand, you can't claim. Lewis",13,7,6,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000014,"Customer: @GWRHelp good morning. Is Shiplake station being moved entirely this weekend? https://t.co/Apr7xQYImx
GWRHelp: @295472 Hi Russell. Can you explain what you mean please? - Josh
Customer: @GWRHelp That picture is your station advert. Look at Shiplake.
GWRHelp: @295472 Apologies for this Russell. Where is the poster located please? I will get this reported - Josh
Customer: @GWRHelp Twyford. But I'm guessing it doesn't have its own special print.
GWRHelp: @295472 Thank you for confirming, we'll look into this. - Jordan",6,3,3,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,information,resolved,good_candidate
GWR_000015,"Customer: This is the 11:44am @GWRHelp service Bristol Parkway to London Paddington (after rail replacement from Cardiff). You call this good service? https://t.co/smAhjZb0WP
GWRHelp: @353690 Hi Robert. Apologies for the busy conditions. Did you reserve a seat for this service? Rach
Customer: @GWRHelp I did but I can’t even get to it!
Customer: @GWRHelp And - I won’t die tbh but there are several elderly ppl here w walking sticks etc standing &amp; not being offered seats #accessibility #respect
GWRHelp: @353690 As you reserved a seat but have to stand you are entitled to compensation. Please send details to __email__. Lewis
GWRHelp: nan",6,3,3,,FALSE,FALSE,STAFF / SERVICE COMPLAINT,complaint,unresolved,good_candidate
GWR_000016,"Customer: Just one of those standard @GWRHelp themed tweets about my train starting off 18mins late and still haemorrhaging time. 22mins late now 🤔
GWRHelp: @521296 Hi Nick. Which service is this please? Natalie
Customer: @GWRHelp Hi Natalie. Thanks. 0805 Cdf to Swansea. Station says it's imminent and caused by late departure from Pad.
Customer: @521296 @GWRHelp That sucks
Customer: @552142 @GWRHelp Ha, thanks! Obvs not a huge problem but I picked a bad day to arrive super early.
GWRHelp: @521296 Thanks Nick. I can see this is running 22 minutes late at the moment as the train left the depot late earlier. I'm very sorry about this.
Customer: @GWRHelp Thanks
GWRHelp: nan",8,5,3,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,complaint,resolved,good_candidate
GWR_000017,"Customer: Got to the platform at 7:43, train leaves at 7:44 but the doors were already closed. Asked if I could get on &amp; I was told no because the doors were already locked. Then two staff unlock &amp; step on infront of me. Then told again I'm not allowed on the train. Thanks again @GWRHelp
GWRHelp: @130647 Sorry for this Deborah, doors can lock up to 40 seconds before departure but we'd always recommend being able to board in plenty of time to avoid these situations. Phil.
Customer: @GWRHelp But staff were allowed to board the train in front of me, yet I still wasn't allowed
GWRHelp: @130647 Staff may still be permitted to board if passenger boarding has ended, the staff may have been crew for that service. I do appreciate it's frustrating though, sorry you weren't able to board today. Phil.",4,2,2,,FALSE,FALSE,STAFF / SERVICE COMPLAINT,complaint,resolved,good_candidate
GWR_000018,"Customer: @GWRHelp Fantastic service for people with disabilities, all seat reservations cancelled because ""there was no time to put them out""
GWRHelp: @579058 Hi Lauren. Really sorry for any inconvenience caused. If you had a seat booked and have had to stand please email __email__- Josh",2,1,1,,FALSE,FALSE,STAFF / SERVICE COMPLAINT,complaint,unresolved,good_candidate
GWR_000019,"Customer: @GWRHelp where do I send the bill for my time you've wasted and my missed connecting train? #MickeyMouse #LiterallyEveryOtherTrainIsLate
GWRHelp: @534509 Hi Dave. Sorry for the delay to your journey. We don't compensate for consequential losses but please check: https://t.co/kZncdam7bx. Nat
Customer: @GWRHelp You don't compensate for something that's directly your responsibility? Seems legit! Can't imagine if I took that to court you'd fair well
GWRHelp: @534509 We will compensate the cost of your train ticket if you are eligible based on your ticket, overall delay time and the cause of the delay.",4,2,2,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,request,unresolved,good_candidate
GWR_000020,"Customer: @GWRHelp Three carriages at peak hour is not acceptable!! Filton to cardiff. Standing room, crammed. People left on platform....
GWRHelp: @374844 Sorry for the crowding on board today Leona. More carriages are coming to the route to boost capacity from January. Phil.",2,1,1,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,complaint,unresolved,good_candidate
GWR_000021,"Customer: @GWRHelp for the love of GOD, run trains on time. Guildford to Wokingham is a connecting train for most people. If late, it's game over
GWRHelp: @367763 Sorry for any delay this morning Chis, what was the departure time please? Phil.
Customer: @GWRHelp Departed 07:50 instead of 07:43. Now I miss my connection AGAIN. Now it's a taxi from Wokingham! Now I'm £24 on taxis in 3 working days.
GWRHelp: @367763 Are you referring to the 0745 service? This is a South Western Railway service I'm afraid. Rach
Customer: @GWRHelp Are for real! It's the 0743 from Guildford to Wokingham! The train has a giant GWR logo on the side. Do you not know your own service. https://t.co/J5XRtHK9yy
Customer: @GWRHelp Oh Silence... I think the words you're looking for are ""apologies Chris, yes our service was late again. Could we refund your taxi costs""
GWRHelp: @367763 Apologies yes 0743 our service and was delayed - Sorry for this. We're not liable for consequential losses I'm afraid. Phil.
Customer: @GWRHelp Problem is I'm ""liable"" if I dont buy ticket. I'm ""liable"" for being late to work. Thanks for apology. 
New Car arrives next week Hallelujah https://t.co/Nz9xKJFspK
Customer: @GWRHelp Once again you've out performed my expectations. 0743 from Guildford is late again! You should be proud of your redundant service. TAXI ‼️
GWRHelp: @367763 HI Chris. It's currently running 5 minutes late due to following a late running service. Sorry for the problems this causes. Lewis
Customer: @GWRHelp Giving me 60 seconds to make my change! Thank you for the apology. Luckily for me, I'm getting used to this and I've met a funny taxi driver https://t.co/QaV2YjnrU2",11,7,4,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000022,"Customer: @GWRHelp Still no clarity on advance tickets or timetables for weekends December 2nd onwards? You said NR had finalised this!
GWRHelp: @280466 Hello Mike. Advance Tickets are available to 31 December. Some weekends have been held back. More info here: https://t.co/4BYUNd7mJY - Jord
Customer: @GWRHelp So this exchange earlier in the week was incorrect? https://t.co/pgoieyJMH5
GWRHelp: @280466 Yes, this is now incorrect. We wasn't aware that 2 December would be a later opening. Most dates have been extended until end of the year.",4,2,2,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,resolved,good_candidate
GWR_000023,"Customer: @GWRHelp Hi,when will the timetables be confirmed for Christmas week? I only ask as the Pad to Penzance sleeper is still missing on 21/12..?
GWRHelp: @116715 1/2 Hi. It appears the service will run however it is not in the system yet. We are waiting for confirmation from...
GWRHelp: @116715 2/2 Network Rail before advertising it. This should be confirmed in the next two weeks - Josh",3,1,2,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,information,resolved,good_candidate
GWR_000024,"Customer: @GWRHelp hello, is there any way you can please tell me what the 10.21 train from Paddington to Hereford on 23rd December is likely to be - HST or DMU? Thanks.
GWRHelp: @470280 Hi Sian, this is scheduled to be a High Speed Train. -Andy
Customer: @GWRHelp Wahey Andy, thanks for this. Is it likely to change at all? And if so, do you know where best for me to check that in run up to the day?
GWRHelp: @470280 The timetable is confirmed so it should run as a HST, on the day if there's disruption it may cause changes but we expect it to be a HST. -Andy
GWRHelp: @470280 You can check with us on the day and we can confirm. -Andy
Customer: @GWRHelp Belated thanks for your help!
GWRHelp: @470280 No problem Sian! Rach",7,3,4,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,information,resolved,good_candidate
GWR_000025,"Customer: @GWRHelp when do you expect to publish the new January 2018 timetables. Interested to see changes with all the new trains
GWRHelp: @733504 Hi. I can't say exactly when but it shouldn't be to much longer now. Lewis
Customer: @GWRHelp Ok thanks. Is the information on Journey planner correct for January 2018? Wouldn’t want to plan travel if it’s incorrect.
GWRHelp: @733504 What dates in January are you looking to travel? Lewis
Customer: @GWRHelp Most weekdays. I will wait for timetables to be published
GWRHelp: @733504 Reservations are available for weekdays from Tuesday 2 January to Friday 9 March 2018 so the timetable is unlikely to change. Lewis",6,3,3,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,resolved,good_candidate
GWR_000026,"Customer: Hi @GWRHelp, what will the journey time between Didcot Parkway and Paddington? It’s around 45 mins with the current HSTs. Thank you. https://t.co/d7JOc0irEF
GWRHelp: @258335 HI Mark. I don't have a figure for Didcot Parkway but looking at the January timetable there are services timed to take 40 minutes. Lewis
Customer: @GWRHelp Thank you Lewis",3,2,1,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,resolved,good_candidate
GWR_000027,"Customer: @GWRHelp to disinterested in customers to address valid concerns. Disgraceful. Again
GWRHelp: @580790 1/2 Apologies for the lack of response until now, yesterday we were having some technical issues which affected our responses.
GWRHelp: @580790 2/2 My further apologies for the issues you had on board - What journey were you making please? Phil.
Customer: @GWRHelp 11:25 Reading to Paddington yesterday. Severely delayed no audible announcements. Overcrowded and 30 degrees in the carriage
GWRHelp: @580790 Thanks for confirming. I can see this service was delayed due to following a late running service ahead. Apologies for the delay. 1/2 Rach
GWRHelp: @580790 Can you please confirm which carriage you were in? I will then report the temperature and announcements. 2/2 Rach
Customer: @GWRHelp The last carriage - that is the rear carriage. The delay was nothing to do with a late running service but signalling problems
GWRHelp: @580790 Thanks for confirming, will report now. Can see there was a signalling fault which caused the congestion your train was delayed in. Phil.",8,3,5,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000028,"Customer: Kudos to @GWRHelp we seem to be getting 4 carriages on the 17:10 from Filton, at least to Westbury. A lot less overcrowded.
GWRHelp: @127060 Hi Jonathon. Glad to hear this. All feedback is accumulated and passed on to the appropriate teams. Have a good evening! :) Rach",2,1,1,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,information,resolved,bad_candidate
GWR_000029,"Customer: Once again @GWRHelp have cancelled 9.55 Cardiff to London due to not enough available rolling stock. Result is late for appointment. Solution is invest more of profits in infrastructure or nationalise rail. @280693
GWRHelp: @280692 @280693 Hi Paul. Apologies for the inconvenience this has caused. We are currently making the biggest investment in a generation on new trains for this route which will help prevent issues like this going forward - Josh
Customer: @GWRHelp @280693 Good but 2nd time in a week this has happened to me. Unreliable service at extortionate cost. Time to compensate travellers when you are unable to provide adequate service.
GWRHelp: @280692 @280693 Sorry to hear this Paul. What kind of ticket do you hold please? - Josh
Customer: @GWRHelp @280693 Advanced 1st class single.
GWRHelp: @280692 @280693 Hi Paul. If delayed by an hour you can claim compensation here: https://t.co/kZncdam7bx. Lewis
Customer: @280692 @GWRHelp @280693 I reached home at 4 last night. Terrible doesn't even begin to describe these shambles. @VirginTrains @115793 I can't understand how people live with these kind of services day in day out.
GWRHelp: @271492 @280692 @280693 @VirginTrains @115793 Hi there. Really sorry to hear this. Was this on one of our services? - Josh
GWRHelp: nan",9,4,5,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000030,"Customer: @GWRHelp you’ve cancelled my connecting train 8:51 from truro &amp;I’m late for uni ,I paid £2.90 extra to get an early train this utter shit
GWRHelp: @130097 Hi Jessi. Apologies for the cancellation this morning. This train has been cancelled because of a train fault. 1/2 Rach
GWRHelp: @130097 The next available service is the 0920. 2/2 Rach
Customer: @GWRHelp It’s an utter shambles none of the signs have been changed
GWRHelp: @130097 I will get this reported right away. Rach
Customer: @GWRHelp I want a refund this is ridiculous
GWRHelp: @130097 If delayed by an hour you can claim compensation here: https://t.co/kZncdam7bx. Rach",7,3,4,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000031,"Customer: @GWRHelp good to see investment in new rolling stock is helping commuters.... 7.16 from Maidenhead has only 3 coaches!!!!! Joke! 7.08 delayed by over 11 mins!!!! Joke!
GWRHelp: @306557 Hi Ian. Apologies for the busy conditions this morning. Rach",2,1,1,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,complaint,unresolved,good_candidate
GWR_000032,"Customer: @GWRHelp  another thoroughly crap service between portsmouth and brighton today. So far this week we have had cancellations and 2 carriage trains. Have you any concept how much of our hard earned money we pay for this crap service?
GWRHelp: @722408 Sorry for the issues you've had on this route Simon, which services were you using please? Phil.
Customer: @GWRHelp 17:02 from Brighton and 07:09 from Portsmouth. It's been so reliable all summer but now is either cancelled or 2 old carriages. Every train to Havana misses it's time so we miss the connection. It's rubbish @GWRHelp
GWRHelp: @722408 I can't see an 0709 scheduled this morning I'm afraid Simon, please could you confirm the departure time? Phil.
Customer: @GWRHelp 2 mins late however 2 carriages  in rush hour. Last night's 5:02 from Brighton was cancelled. Mondays 7:09 from Portsmouth was cancelled and every train from Brighton gets to Havant 10 mins late making us miss cnxs
GWRHelp: @722408 Please could you confirm the time of the service in the morning Simon? I can't see a 0709 scheduled from Portsmouth to Brighton. Phil.
Customer: @GWRHelp Are you for real? It goes through fratton if you don't k ow your stations
GWRHelp: @722408 No 0709 is scheduled from Portsmouth to Fratton, Havant or Brighton. There are services Portsmouth to Fratton 0701, 0705, 0713. Phil.
Customer: @GWRHelp If you thought outside the box a little you might guess that I was talking about the 7:09 out of fratton which is in Portsmouth.
GWRHelp: @722408 1/2 If you say you travel from Portsmouth we will search for journeys from named Portsmouth stations. Thanks for confirming your departure station, on Monday 0709 from Fratton was cancelled due to a crew shortage. Apologies for this.
GWRHelp: @722408 2/2 We do work hard to avoid these issues but absences do occur, and we are sometimes unable to source a replacement in time. Apologies for the crowding experienced also, additional newer carriages will run on this route from mid 2018. Phil
Customer: @GWRHelp So in 7 months time we will have new carriages but in the meantime we pay for a cheap service.   Terrible",12,6,6,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000033,"Customer: Shout out to @GWRHelp who informed customers on the 9am train on Sunday morning that the bar was fully licensed 🍸🍾👌🏼
GWRHelp: @380524 Hi Charlie. Have a good journey today. Lewis
Customer: @GWRHelp Hi Lewis. Despite the fact it’s a nightmare and long and seemingly never ending it is actually clean, pleasant and your staff are nice.
Customer: @GWRHelp For context I’m talking about the train journey and not the size of the bar or something
GWRHelp: @380524 I appreciate with all the work journeys are more difficult today, it's nice to see other aspects are making up for it. Lewis
Customer: @GWRHelp I mean a free beer wouldn’t go amiss!",6,4,2,,FALSE,FALSE,GENERAL CUSTOMER SERVICE,other,resolved,bad_candidate
GWR_000034,"Customer: @GWRHelp Why is the 17.21 KYN to BRI showing as ""delayed""? Going to miss the my connection at this rate! (the 17.54 BRI to CDF).
GWRHelp: @229010 Hi Marc. Sorry for the delay to your journey. This service is being delayed due to signalling problems. Rach
Customer: @GWRHelp Any idea on time or if you can stop one of the HSTs that are passing through at KYN?
Customer: @GWRHelp And just as I say that the NRE app has updated to say the 5.26 from BTH to BRI will also stop at OLF and KYN. Thanks!",4,3,1,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,question,resolved,good_candidate
GWR_000035,"Customer: @GWRHelp hello, left my north face jacket on the 8.01 train from Bristol to Paddington. How do I go about getting it back please?
GWRHelp: @546047 Hi Jim. Sorry to see this. Please register this as lost in https://t.co/xOTZgo3Svd and https://t.co/yO47H7i6Di -
 we'll contact you if found
Customer: @GWRHelp Thank you.",3,2,1,,FALSE,FALSE,BAGGAGE / LOST PROPERTY,question,resolved,good_candidate
GWR_000036,"Customer: Currently on a @GWRHelp service, “next stop Hayes &amp; Harlington” as we pass through and fail to stop at Twyford. Thanks for the announcements
GWRHelp: @492297 Hello Nick. Which service is this please? - Jordan
Customer: @GWRHelp On a service from London Paddington to Oxford. The service still says we are stopping at Hayes &amp; Harlingt among others, we pull into reading
GWRHelp: @492297 Can you confirm the departure time please from London? - Jordan
Customer: @GWRHelp I believe it was supposed to be 10.27 from London Paddington but it didn’t leave until almost 10.50 so not 100% sure
GWRHelp: @492297 I can't seem to find a 1027 service but there is a 1022 service from London Paddington to Oxford which was not scheduled to call at Twyford.
GWRHelp: @492297 Apologies for the confusion Nick. I will report the information that was provided on the screens. What carriage were you in please? 2/2 Rach
Customer: @GWRHelp Car 1. There were also no announcements from the driver notifying us of the change.
Customer: @GWRHelp The announcement when we pulled into Reading was “this is Hayes &amp; Harlington”",9,5,4,,FALSE,FALSE,TRAIN / SERVICE INFORMATION,question,unresolved,good_candidate
GWR_000037,"Customer: @GWRHelp how come 1842 to MAID is now a stopping service? Can I assume i will make 1920 to B'END?
GWRHelp: @580894 Hi Guy. It is only a temporary stopping service due to previous cancellations. We will try to hold all connecting services if possible. Rach
Customer: @GWRHelp thanks, let's hope so!
Customer: @GWRHelp once again another missed connection!!!!!
GWRHelp: @580894 Apologies for the delay to your journey Guy. Rach
Customer: @GWRHelp 1842 delayed almost every eve...no refund as season ticket holder.. 5% off renewal is not adequate comp. pls share with management
Customer: @GWRHelp if you suddenly decide to make service a stopping service the least you can do is hold the connections. Disgraceful as usual.
GWRHelp: @580894 I will record your feedback on this. Rach
GWRHelp: @580895 Apologies Lauren. It was not possible to hold the connection on this occasion due to the knock on effect this can have. Phil.
Customer: @GWRHelp don't make the service a stopping service then because that clearly has knock on effects too!!! 😡
GWRHelp: @580895 I can appreciate your frustration at this Lauren, apologies for the delay to your journey this evening. Phil.
Customer: @GWRHelp and again....",12,7,5,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000038,"Customer: @GWRHelp the WiFi on your trains is abysmal... it genuinely makes me wish I got the bus. Also, the lighting is super harsh 🙃
GWRHelp: @576925 Hello. Sorry to see this. What appears to be the issue with the complimentary WiFi and what do you mean by the lighting being harsh please?
Customer: @GWRHelp Every time I’m on your trains im unable to use the WiFi, it literally doesn’t load anything. I would use my 3G but no signal :(.
Customer: @GWRHelp The lighting - in the nights when it’s pitch black outside the lighting in the carriage is so bright. Maybe dim it?! https://t.co/jQhlBpPrMM
GWRHelp: @576925 Thanks. The connectivity's dependent on the 3G/4G in the area so this would explain the issue. The lights can't be dimmed for safety reasons
Customer: @GWRHelp Thanks for the response!",6,4,2,,FALSE,FALSE,TECHNICAL / WEBSITE / APP,complaint,unresolved,good_candidate
GWR_000039,"Customer: @GWRHelp Another day another train delay. Signal failure after an earlier delay in Swindon on a train where there is also a 'flooded' bar.
GWRHelp: @132689 Sorry to see this Mackenzie. Which service are you travelling on please? Natalie
Customer: @GWRHelp The 14:30 Bristol TM to London.
Customer: @GWRHelp Here's the bag of newspaper used to mop up the water. You are a disgrace. https://t.co/FqSon1M7E4
Customer: @GWRHelp I'm now 34 minutes late! Will I get a refund?
GWRHelp: @132689 Hi. Thanks for confirming. Sorry for the delay. I regret compensation would only be due if delayed by an hour. Lewis
Customer: @GWRHelp One thing I'm sure about you vile people - you aren't sorry. #greed #trainfail",7,5,2,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,complaint,unresolved,good_candidate
GWR_000040,"Customer: HOW HOW HOW CAN ANOTHER @GWRHelp TRAIN BE DELAYED?! In the three months I've used the service I don't think one has ever been on time
GWRHelp: @481977 Can you confirm the journey details, Rich? - Jordan
Customer: @GWRHelp Oldfield park 》temple meads. I don't understand why it's always late? Why not just schedule it later???
GWRHelp: @481977 This train has been delayed due to signalling problems at Trowbridge. It's currently delayed by 33 minutes. I appreciate this is frustrating
Customer: @GWRHelp Can you explain what a signalling problem is, not ideal when I've got a wedding to go to
GWRHelp: @481977 The points were stuck in a position and therefore caused the signalling system to stop working. Network Rail were on site to fix this. Rach",6,3,3,,FALSE,FALSE,TRAIN DELAY / CANCELLATION,question,unresolved,good_candidate
