thread_id,customer_text,intent,predicted_intent,predicted_response,escalate_to_human,correct
GWR_000011,@GWRHelp why can't this train leave Didcot Parkway until 19.38? To Swindon. @GWRHelp Yep @GWRHelp I could've told you that! Put more bloody trains on muppets. These idiots in vests at stations are clueless too GWR=Ryanair on Rail!,GENERAL CUSTOMER SERVICE,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000012,"Full and standing to the point of being unsafe, unable to get on, and staff with no clue as to the concept of customer service. @GWRHelp https://t.co/ce1QUJtSrG @GWRHelp Are you going to answer the question as to why it was decided to put on just one carriage for such a long route, on a busy Saturday? @GWRHelp And forgive me for finding utterly arbitrary the method of deciding whether the train was full. Is there a prescribed method for this? @GWRHelp No, to repeat for a third time, I'd like to know the reason this specific service was run with one carriage. Thank you. @GWRHelp And while we're at it, do you have figures available as to the cost of your rebrand to GWR that you insisted wasn't 'just a rebrand'? @GWRHelp And do you have any expectation that one carriage will fit all pax on that route, or are you selling a service you can't possibly provide? @GWRHelp In no-one's mind is a one-carriage train going to be sufficient all the way from Penzance to Plymouth. Wouldn't you agree? @GWRHelp And you seem to be failing miserably at matching resources to predicted numbers. Just arrived in Plymouth 40mins late by taxi - thanks. @GWRHelp I'll take that as agreement with my point. My complaint will be in the post. Lost count of how many I've made, yet service never improves.",STAFF / SERVICE COMPLAINT,GENERAL CUSTOMER SERVICE,Hello! How can we assist you with your journey today? Please reply with your specific travel details or enquiry and we'll be happy to help.,True,False
GWR_000013,"Half an hour late getting to Taunton. Good job @GWRHelp @GWRHelp The 1157 Paddington to Penzance. It's criminally overcrowded and now half an hour late. @GWRHelp Apologies don't really help, to be honest. How late does it need to be for me to claim compensation? @GWRHelp I note you apologise for the delay (which might not be in your control) but not the overcrowding (which definitely is in your control). @GWRHelp Your link is a 404. But this page says I can claim after 30 minutes https://t.co/2HaqG4zKY0 @GWRHelp Yeah. That's the page I found. It says I can claim for delays of 30 mins. Not sure why you said an hour. @GWRHelp So I see. That's ridiculous. If I can't claim for this appalling service I'm going to be furious.",TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",True,True
GWR_000014,@GWRHelp good morning. Is Shiplake station being moved entirely this weekend? https://t.co/Apr7xQYImx @GWRHelp That picture is your station advert. Look at Shiplake. @GWRHelp Twyford. But I'm guessing it doesn't have its own special print.,GENERAL CUSTOMER SERVICE,ROUTE / TIMETABLE / STATION,"For timetable, platform, or route information, please check live departures at www.gwr.com or speak to station staff on the concourse.",False,False
GWR_000015,This is the 11:44am @GWRHelp service Bristol Parkway to London Paddington (after rail replacement from Cardiff). You call this good service? https://t.co/smAhjZb0WP @GWRHelp I did but I can’t even get to it! @GWRHelp And - I won’t die tbh but there are several elderly ppl here w walking sticks etc standing &amp; not being offered seats #accessibility #respect,STAFF / SERVICE COMPLAINT,ACCESSIBILITY / SPECIAL ASSISTANCE,"Station accessibility information, including step-free access and lift status, is available on the station pages of www.gwr.com and on National Rail Enquiries. If a lift is out of service, our team can arrange accessible alternative transport.",False,False
GWR_000016,"Just one of those standard @GWRHelp themed tweets about my train starting off 18mins late and still haemorrhaging time. 22mins late now 🤔 @GWRHelp Hi Natalie. Thanks. 0805 Cdf to Swansea. Station says it's imminent and caused by late departure from Pad. @521296 @GWRHelp That sucks @552142 @GWRHelp Ha, thanks! Obvs not a huge problem but I picked a bad day to arrive super early. @GWRHelp Thanks",GENERAL CUSTOMER SERVICE,ROUTE / TIMETABLE / STATION,"Live platform allocations and departure times are displayed on station screens and in the GWR app. Platforms are confirmed shortly before arrival, so please check the departure boards at the station.",False,False
GWR_000017,"Got to the platform at 7:43, train leaves at 7:44 but the doors were already closed. Asked if I could get on &amp; I was told no because the doors were already locked. Then two staff unlock &amp; step on infront of me. Then told again I'm not allowed on the train. Thanks again @GWRHelp @GWRHelp But staff were allowed to board the train in front of me, yet I still wasn't allowed",STAFF / SERVICE COMPLAINT,STAFF / SERVICE COMPLAINT,"We are very sorry to hear about your experience with our staff. We hold our teams to high professional standards. Please send us a DM with the date, time, station or service, and any staff details so we can refer this to station management.",False,True
GWR_000018,"@GWRHelp Fantastic service for people with disabilities, all seat reservations cancelled because ""there was no time to put them out""",STAFF / SERVICE COMPLAINT,TRAIN DELAY / CANCELLATION,"I am very sorry that your train has been cancelled. Your ticket is valid on the next available GWR service on the same route. If you choose not to travel due to the cancellation, you are entitled to a full fee-free refund from your point of purchase.",True,False
GWR_000019,@GWRHelp where do I send the bill for my time you've wasted and my missed connecting train? #MickeyMouse #LiterallyEveryOtherTrainIsLate @GWRHelp You don't compensate for something that's directly your responsibility? Seems legit! Can't imagine if I took that to court you'd fair well,TRAIN DELAY / CANCELLATION,REFUND / COMPENSATION,"If your journey was delayed by 15 minutes or more, you can claim compensation under our Delay Repay scheme. Please submit a claim with a photo of your ticket within 28 days at www.gwr.com/delayrepay.",True,False
GWR_000020,"@GWRHelp Three carriages at peak hour is not acceptable!! Filton to cardiff. Standing room, crammed. People left on platform....",GENERAL CUSTOMER SERVICE,ROUTE / TIMETABLE / STATION,"Live platform allocations and departure times are displayed on station screens and in the GWR app. Platforms are confirmed shortly before arrival, so please check the departure boards at the station.",False,False
GWR_000021,"@GWRHelp for the love of GOD, run trains on time. Guildford to Wokingham is a connecting train for most people. If late, it's game over @GWRHelp Departed 07:50 instead of 07:43. Now I miss my connection AGAIN. Now it's a taxi from Wokingham! Now I'm £24 on taxis in 3 working days. @GWRHelp Are for real! It's the 0743 from Guildford to Wokingham! The train has a giant GWR logo on the side. Do you not know your own service. https://t.co/J5XRtHK9yy @GWRHelp Oh Silence... I think the words you're looking for are ""apologies Chris, yes our service was late again. Could we refund your taxi costs"" @GWRHelp Problem is I'm ""liable"" if I dont buy ticket. I'm ""liable"" for being late to work. Thanks for apology. New Car arrives next week Hallelujah https://t.co/Nz9xKJFspK @GWRHelp Once again you've out performed my expectations. 0743 from Guildford is late again! You should be proud of your redundant service. TAXI ‼️ @GWRHelp Giving me 60 seconds to make my change! Thank you for the apology. Luckily for me, I'm getting used to this and I've met a funny taxi driver https://t.co/QaV2YjnrU2",TRAIN DELAY / CANCELLATION,ROUTE / TIMETABLE / STATION,"If your train was delayed causing you to miss a connecting service, your ticket is valid on the next available train to your destination. Station staff will also be able to advise on alternative routes.",True,False
GWR_000022,@GWRHelp Still no clarity on advance tickets or timetables for weekends December 2nd onwards? You said NR had finalised this! @GWRHelp So this exchange earlier in the week was incorrect? https://t.co/pgoieyJMH5,TRAIN / SERVICE INFORMATION,BOOKING / TICKETS,Advance tickets can be amended prior to departure for a £10 admin fee plus any difference in fare via your online account or ticket office. Flexible tickets (Off-Peak/Anytime) can be changed or upgraded directly.,False,False
GWR_000023,"@GWRHelp Hi,when will the timetables be confirmed for Christmas week? I only ask as the Pad to Penzance sleeper is still missing on 21/12..?",GENERAL CUSTOMER SERVICE,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000024,"@GWRHelp hello, is there any way you can please tell me what the 10.21 train from Paddington to Hereford on 23rd December is likely to be - HST or DMU? Thanks. @GWRHelp Wahey Andy, thanks for this. Is it likely to change at all? And if so, do you know where best for me to check that in run up to the day? @GWRHelp Belated thanks for your help!",GENERAL CUSTOMER SERVICE,GENERAL CUSTOMER SERVICE,Hello! How can we assist you with your journey today? Please reply with your specific travel details or enquiry and we'll be happy to help.,False,True
GWR_000025,@GWRHelp when do you expect to publish the new January 2018 timetables. Interested to see changes with all the new trains @GWRHelp Ok thanks. Is the information on Journey planner correct for January 2018? Wouldn’t want to plan travel if it’s incorrect. @GWRHelp Most weekdays. I will wait for timetables to be published,TRAIN / SERVICE INFORMATION,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000026,"Hi @GWRHelp, what will the journey time between Didcot Parkway and Paddington? It’s around 45 mins with the current HSTs. Thank you. https://t.co/d7JOc0irEF @GWRHelp Thank you Lewis",TRAIN / SERVICE INFORMATION,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000027,@GWRHelp to disinterested in customers to address valid concerns. Disgraceful. Again @GWRHelp 11:25 Reading to Paddington yesterday. Severely delayed no audible announcements. Overcrowded and 30 degrees in the carriage @GWRHelp The last carriage - that is the rear carriage. The delay was nothing to do with a late running service but signalling problems,TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,True
GWR_000028,"Kudos to @GWRHelp we seem to be getting 4 carriages on the 17:10 from Filton, at least to Westbury. A lot less overcrowded.",GENERAL CUSTOMER SERVICE,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000029,Once again @GWRHelp have cancelled 9.55 Cardiff to London due to not enough available rolling stock. Result is late for appointment. Solution is invest more of profits in infrastructure or nationalise rail. @280693 @GWRHelp @280693 Good but 2nd time in a week this has happened to me. Unreliable service at extortionate cost. Time to compensate travellers when you are unable to provide adequate service. @GWRHelp @280693 Advanced 1st class single. @280692 @GWRHelp @280693 I reached home at 4 last night. Terrible doesn't even begin to describe these shambles. @VirginTrains @115793 I can't understand how people live with these kind of services day in day out.,TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I am very sorry that your train has been cancelled. Your ticket is valid on the next available GWR service on the same route. If you choose not to travel due to the cancellation, you are entitled to a full fee-free refund from your point of purchase.",True,True
GWR_000030,"@GWRHelp you’ve cancelled my connecting train 8:51 from truro &amp;I’m late for uni ,I paid £2.90 extra to get an early train this utter shit @GWRHelp It’s an utter shambles none of the signs have been changed @GWRHelp I want a refund this is ridiculous",TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I am very sorry that your train has been cancelled. Your ticket is valid on the next available GWR service on the same route. If you choose not to travel due to the cancellation, you are entitled to a full fee-free refund from your point of purchase.",True,True
GWR_000031,@GWRHelp good to see investment in new rolling stock is helping commuters.... 7.16 from Maidenhead has only 3 coaches!!!!! Joke! 7.08 delayed by over 11 mins!!!! Joke!,GENERAL CUSTOMER SERVICE,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,False
GWR_000032,@GWRHelp  another thoroughly crap service between portsmouth and brighton today. So far this week we have had cancellations and 2 carriage trains. Have you any concept how much of our hard earned money we pay for this crap service? @GWRHelp 17:02 from Brighton and 07:09 from Portsmouth. It's been so reliable all summer but now is either cancelled or 2 old carriages. Every train to Havana misses it's time so we miss the connection. It's rubbish @GWRHelp @GWRHelp 2 mins late however 2 carriages  in rush hour. Last night's 5:02 from Brighton was cancelled. Mondays 7:09 from Portsmouth was cancelled and every train from Brighton gets to Havant 10 mins late making us miss cnxs @GWRHelp Are you for real? It goes through fratton if you don't k ow your stations @GWRHelp If you thought outside the box a little you might guess that I was talking about the 7:09 out of fratton which is in Portsmouth. @GWRHelp So in 7 months time we will have new carriages but in the meantime we pay for a cheap service.   Terrible,TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I am very sorry that your train has been cancelled. Your ticket is valid on the next available GWR service on the same route. If you choose not to travel due to the cancellation, you are entitled to a full fee-free refund from your point of purchase.",True,True
GWR_000033,"Shout out to @GWRHelp who informed customers on the 9am train on Sunday morning that the bar was fully licensed 🍸🍾👌🏼 @GWRHelp Hi Lewis. Despite the fact it’s a nightmare and long and seemingly never ending it is actually clean, pleasant and your staff are nice. @GWRHelp For context I’m talking about the train journey and not the size of the bar or something @GWRHelp I mean a free beer wouldn’t go amiss!",GENERAL CUSTOMER SERVICE,STAFF / SERVICE COMPLAINT,"We are very sorry to hear about your experience with our staff. We hold our teams to high professional standards. Please send us a DM with the date, time, station or service, and any staff details so we can refer this to station management.",False,False
GWR_000034,"@GWRHelp Why is the 17.21 KYN to BRI showing as ""delayed""? Going to miss the my connection at this rate! (the 17.54 BRI to CDF). @GWRHelp Any idea on time or if you can stop one of the HSTs that are passing through at KYN? @GWRHelp And just as I say that the NRE app has updated to say the 5.26 from BTH to BRI will also stop at OLF and KYN. Thanks!",TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,True
GWR_000035,"@GWRHelp hello, left my north face jacket on the 8.01 train from Bristol to Paddington. How do I go about getting it back please? @GWRHelp Thank you.",BAGGAGE / LOST PROPERTY,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000036,"Currently on a @GWRHelp service, “next stop Hayes &amp; Harlington” as we pass through and fail to stop at Twyford. Thanks for the announcements @GWRHelp On a service from London Paddington to Oxford. The service still says we are stopping at Hayes &amp; Harlingt among others, we pull into reading @GWRHelp I believe it was supposed to be 10.27 from London Paddington but it didn’t leave until almost 10.50 so not 100% sure @GWRHelp Car 1. There were also no announcements from the driver notifying us of the change. @GWRHelp The announcement when we pulled into Reading was “this is Hayes &amp; Harlington”",TRAIN / SERVICE INFORMATION,STAFF / SERVICE COMPLAINT,"We are very sorry to hear about your experience with our staff. We hold our teams to high professional standards. Please send us a DM with the date, time, station or service, and any staff details so we can refer this to station management.",False,False
GWR_000037,"@GWRHelp how come 1842 to MAID is now a stopping service? Can I assume i will make 1920 to B'END? @GWRHelp thanks, let's hope so! @GWRHelp once again another missed connection!!!!! @GWRHelp 1842 delayed almost every eve...no refund as season ticket holder.. 5% off renewal is not adequate comp. pls share with management @GWRHelp if you suddenly decide to make service a stopping service the least you can do is hold the connections. Disgraceful as usual. @GWRHelp don't make the service a stopping service then because that clearly has knock on effects too!!! 😡 @GWRHelp and again....",TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",True,True
GWR_000038,"@GWRHelp the WiFi on your trains is abysmal... it genuinely makes me wish I got the bus. Also, the lighting is super harsh 🙃 @GWRHelp Every time I’m on your trains im unable to use the WiFi, it literally doesn’t load anything. I would use my 3G but no signal :(. @GWRHelp The lighting - in the nights when it’s pitch black outside the lighting in the carriage is so bright. Maybe dim it?! https://t.co/jQhlBpPrMM @GWRHelp Thanks for the response!",TECHNICAL / WEBSITE / APP,TRAIN / SERVICE INFORMATION,"We apologise for the issues with onboard facilities. Please send us a DM with your train time, origin/destination, and coach letter so our on-train and maintenance crews can be notified to resolve this.",False,False
GWR_000039,@GWRHelp Another day another train delay. Signal failure after an earlier delay in Swindon on a train where there is also a 'flooded' bar. @GWRHelp The 14:30 Bristol TM to London. @GWRHelp Here's the bag of newspaper used to mop up the water. You are a disgrace. https://t.co/FqSon1M7E4 @GWRHelp I'm now 34 minutes late! Will I get a refund? @GWRHelp One thing I'm sure about you vile people - you aren't sorry. #greed #trainfail,TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",True,True
GWR_000040,"HOW HOW HOW CAN ANOTHER @GWRHelp TRAIN BE DELAYED?! In the three months I've used the service I don't think one has ever been on time @GWRHelp Oldfield park 》temple meads. I don't understand why it's always late? Why not just schedule it later??? @GWRHelp Can you explain what a signalling problem is, not ideal when I've got a wedding to go to",TRAIN DELAY / CANCELLATION,TRAIN DELAY / CANCELLATION,"I'm sorry for the delay to your journey today. Please check real-time departures on www.gwr.com or the GWR app for live updates. If your journey arrives 15 minutes or more late, you can claim compensation via our Delay Repay scheme at www.gwr.com/delayrepay.",False,True
GWR_000041,"@gwrhelp. Can you confirm whether there are problems at the depots which are delaying repairs to trains? Also is it true that rolling stock has been sold, rather than being used on your routes? Lots of rumours around, so from a PR point of view it might be good to dispel them. @GWRHelp @132693 So what was the cause of the issues in September? And October? And November? It's only recently gotten cold....Unless your trains only operate in temperatures above 18deg...#porkies @GWRHelp Thanks Josh. Can you confirm that there are no problems at the depots that are delaying repairs to trains? Your customers hear a lot of rumours otherwise! @GWRHelp Thanks. It might be worth suggesting to the GWR marketing that they do some reputational damage limitation, perhaps sending staff out to stations and trains to hand out information and reassure customers.  GWR is taking a pasting currently! @132693 @GWRHelp No chance, Ed. That costs money and I'm not spending money on shit that doesn't give me a return! Haha sucker!",TRAIN / SERVICE INFORMATION,STAFF / SERVICE COMPLAINT,"We are very sorry to hear about your experience with our staff. We hold our teams to high professional standards. Please send us a DM with the date, time, station or service, and any staff details so we can refer this to station management.",False,False
GWR_000042,"@GWRHelp I have just been told I have to pay for a ticket on a CC train to Cheltenham, despite taking the route you advised. WTF! 2/2 @GWRHelp London to Cheltenham. Apparently you didn’t set up a ‘ticket conveyance’? @GWRHelp This was the paper I was given - I was told that my ticket would be valid on these trains. Conductor on Bristol-Chelt felt otherwise. https://t.co/klFC9a4dCF @GWRHelp Didn’t pay in the end as got to Cheltenham but horrible way to end what was already a horrible journey. Please could this be investigated? @GWRHelp I need to get back to London tomorrow - please can you advise what trains I can catch with my pre-booked ticket? Was meant to be on 13.46 @GWRHelp Thanks in advance for your help https://t.co/4TLqrQGNY7 @GWRHelp Is there any way that doesn’t involve the bus? Can I not go back via Bristol again? @GWRHelp Or could I start earlier so I get home on time? @GWRHelp Or via Birmingham? @GWRHelp Just looked at Birmingham trains and this seems like the quickest option. Please can you confirm my ticket will be valid? @GWRHelp Tbh I think that’s ridiculous - GWR should pay the conveyance to allow their passengers who booked in advance to travel to their destination @GWRHelp In the quickest time possible. As I understand it GWR could do this, but are choosing not to, to save money at the expense of your customers @GWRHelp I have already spent 2 hours longer than I should have done on trains - GWR could ease this pain but are too tight to do so @GWRHelp Even though it is taking twice the time to get to destination and you failed to notify your advance booking customers? Terrible service @GWRHelp You have ruined my weekend and I have lost money in tickets booked for events I was unable to attend - for which I will receive nothing @GWRHelp And I can’t even get back home on time because instead of one change GWR think it’s ok to send me on a journey with 4 diff legs @GWRHelp You could ease those difficulties with ticket conveyance - chosen not too. Apologies don’t cut it - you’ve chosen £ over your customers. @GWRHelp Enough time to arrange replacement buses = enough time to email your customers. @GWRHelp I did book in advance through your website and I received no such email. @360452 @GWRHelp Nice to see @GWRHelp not giving a shit about customers as usual. @360452 @GWRHelp Standard @GWRHelp you wouldn’t receive compensation from these crooks even if the train derailed.",BOOKING / TICKETS,BOOKING / TICKETS,"If you have not received your booking confirmation or collection reference, please check your spam/junk folder. You can also view your active bookings in your online GWR account. If you still need help, please DM us your registered email.",True,True
GWR_000043,@GWRHelp delays took me nearly 2 hours to go 5 miles. Not impressed 🙅🏼,TRAIN DELAY / CANCELLATION,OTHER,"Thank you for getting in touch with GWR. Please send us a direct message (DM) or reply with details about your journey, and our customer support team will be happy to assist you.",False,False
GWR_000044,"@GWRHelp Terrible news, so trains are terminating at reading then? @GWRHelp It is awful news. Can I ask whether this means those of us sitting on the 10.41 Swindon to Paddington are going to be unloaded onto road transport? @GWRHelp Are there any trains running from Swindon to Paddinngton/London not impacted by this? @GWRHelp @283332 What about buses for services that can’t get into Swindon, eg B Pway? @GWRHelp Changed at Chippenham to a train heading to Paddington (I think via Melksham). Do you know what time it will arrive into London? @GWRHelp I'm booked on the 1.45 Paddington to Swansea. Is it likely to run and if so is first class declassified as will have double the numbers @GWRHelp What’s happening between Reading and Paddington? @GWRHelp Hi Josh, Lewis already got back to me. I’m going from BPway to Swindon, so on a train to Reading where I change for a different train to Didcot, then bus to Swindon apparently! @GWRHelp I’m meeting the 13.30 train at Reading from Bristol, do you know how long the delay might be? Thanks @GWRHelp It’s scheduled to arrive in Reading at 13.30. @GWRHelp Obviously a tragic incident. But the lack of real time information and help at Paddington is abysmal. Also very frustrating that currently tickets can’t be used on alternative routes @GWRHelp Is the 1.36 from Paddington to Cheltenham Spa going to go? @GWRHelp I’ve now had to make alternative travel arrangements as the staff could not guarantee I would be in Swansea for when I needed to be. Can I apply for compensation? @GWRHelp Hi. Does this effect trains going from Bristol TM - London Pad? Or will the train just go a different route after Bath? @GWRHelp Thankyou. The staff were great, it was just the complete lack of information at their disposal that was so frustrating @GWRHelp On the 1pm from Paddington to Temple meads what's the best way to get to Cardiff? @GWRHelp I’m meeting someone off the 12.32 train from Bristol Templemeads arriving in Reading at 13.30 @GWRHelp Do you know what time it might arrive in Reading bearing in mind the delays? Thanks @GWRHelp Thank you 👍🏽 @GWRHelp Is the 2.28 reading to bath definitely running @GWRHelp @284127 Hi - we were meeting my wife’s 81-yr old godmother at Kemble. Think she’s on a coach between Didcot &amp; Swindon now. Any clue when it might arrive? We’re driving to Swindon station to meet her. Thanks for all the info. @GWRHelp @284127 She was due to be on the 1336 out of Paddington to Cheltenham. I believe she’s been on a bus for 20-minutes now. @GWRHelp Did you declassify? There's currently 3 women who are probably over 70 standing. Along with 10-15 others. Also impossible to get to a toilet or get food/drink @GWRHelp Terrible situation. Thoughts to all. Have lines reopened? @GWRHelp 14.26 &amp; still no sign of the train 🚂 🤦🏻‍♀️ @GWRHelp Catching the 15:30 train, am worried now as the 15:00 has been cancelled &amp; pretty much all are cancelled from Parkway @GWRHelp @284127 My guess is about 1.35? Not sure. No sign of bus at Swindon...Cant be long now @GWRHelp Many thanks. @GWRHelp @284127 It was all good in the end. Hope network and passengers are calmer now. Take care.",TRAIN DELAY / CANCELLATION,ROUTE / TIMETABLE / STATION,"Live platform allocations and departure times are displayed on station screens and in the GWR app. Platforms are confirmed shortly before arrival, so please check the departure boards at the station.",True,False
GWR_000045,"@GWRHelp can you help your train drivers be on time for the trains they're supposed to be driving @GWRHelp Too lean on the drivers maybe? @GWRHelp Also, why do you remove the platform announcements from the board before the train is scheduled to depart? @GWRHelp About 3 or 4 minutes before the train is set to leave it is removed from the board so you don’t know what platform it’s on",ROUTE / TIMETABLE / STATION,ROUTE / TIMETABLE / STATION,"Live platform allocations and departure times are displayed on station screens and in the GWR app. Platforms are confirmed shortly before arrival, so please check the departure boards at the station.",False,True
GWR_000046,@GWRHelp can you do anything to help me out? @GWRHelp No it didn't improve at all.  I've never seen overcrowding like this before @GWRHelp Not your fault.  You guys have reacted in the best way possible - extremely professionally,GENERAL CUSTOMER SERVICE,GENERAL CUSTOMER SERVICE,Hello! How can we assist you with your journey today? Please reply with your specific travel details or enquiry and we'll be happy to help.,False,True
GWR_000047,@GWRHelp Do I need photo id in order to use a weekly season ticket? Clapham Junction to Oxford? @GWRHelp I need to purchase one. Thanks,BOOKING / TICKETS,BOOKING / TICKETS,"For ticket purchases, amendments, or collection queries, please visit www.gwr.com or manage your booking via your GWR account. Feel free to DM us if you need specific booking assistance.",False,True
